"Transcript","Condition_A","Condition_B"
"TR75473|c1_g3_i2",1.31,0.75
"TR11186|c0_g1_i1",5.63,5.24
"TR133232|c0_g1_i1",1.09,0.91
"TR4748|c0_g1_i1",0.91,0.76
"TR144417|c0_g1_i1",0.72,0.65
"TR104305|c0_g1_i1",0.42,0
"TR33283|c0_g1_i1",0.61,0.85
"TR108076|c0_g1_i1",1.56,0.76
"TR8164|c0_g1_i6",1.86,1.52
"TR76078|c2_g2_i2",0.65,1.3
"TR69844|c1_g1_i1",1.27,3
"TR113241|c0_g2_i1",0.34,0.48
"TR41255|c0_g1_i1",0.94,0.56
"TR139291|c0_g1_i1",0.36,0.76
"TR22018|c0_g1_i4",0.61,0.09
"TR177376|c0_g1_i1",0.53,0
"TR42973|c0_g1_i1",1.67,1.43
"TR20071|c0_g1_i1",0.12,0
"TR98291|c1_g2_i2",1.43,1.07
"TR45160|c0_g2_i2",3.32,2.15
"TR35738|c0_g1_i1",0.37,0.8
"TR29|c1_g2_i3",1.52,2.42
"TR144728|c1_g1_i1",0.77,0.83
"TR167528|c0_g1_i1",0,0.57
"TR98442|c0_g1_i1",0.4,0.43
"TR40352|c1_g2_i4",0.99,1.44
"TR90072|c0_g1_i1",0.26,0.93
"TR191825|c0_g1_i1",0.78,0
"TR31550|c0_g1_i1",0.55,0.36
"TR112414|c0_g1_i1",4.86,3.82
"TR42917|c1_g10_i1",0.67,0.55
"TR201069|c0_g1_i1",0.92,1.01
"TR83000|c0_g1_i2",1.35,1.55
"TR21011|c0_g3_i7",0.03,0
"TR100469|c0_g1_i1",1.63,2.13
"TR53186|c0_g1_i4",0.39,0
"TR103377|c0_g1_i1",0.43,0.12
"TR4543|c0_g1_i1",0.87,0
"TR212252|c0_g1_i1",0.52,0.73
"TR21072|c0_g2_i9",2.98,1.45
"TR129799|c0_g1_i1",0.63,0.39
"TR146003|c0_g1_i1",0.57,1.68
"TR90164|c0_g1_i1",0.66,0.4
"TR65981|c0_g1_i1",0.4,0
"TR42045|c0_g1_i8",0.4,0.25
"TR15781|c1_g1_i1",0.32,0
"TR116812|c0_g1_i1",1,1.01
"TR72523|c0_g1_i1",0.63,0.52
"TR81001|c0_g2_i2",6.54,7.51
"TR63615|c0_g2_i1",12.21,0
"TR21104|c1_g16_i1",0.99,0
"TR208444|c0_g1_i1",0,0.42
"TR147574|c0_g1_i1",0.88,0.47
"TR75418|c0_g1_i2",0.81,0.85
"TR74505|c0_g1_i5",0.48,0.6
"TR235916|c0_g1_i1",0.56,0.59
"TR9393|c0_g1_i1",0.32,0.23
"TR33933|c0_g1_i2",3.16,0.73
"TR13663|c0_g1_i4",1.41,1.28
"TR233716|c0_g1_i1",0.67,0.62
"TR19353|c0_g1_i1",0.21,0.44
"TR59127|c0_g1_i1",0.32,0
"TR55742|c5_g5_i1",6.5,5.09
"TR168167|c0_g1_i1",0.5,0.36
"TR141287|c0_g2_i1",0.4,0
"TR126575|c0_g1_i1",0.64,0.3
"TR121456|c1_g1_i1",1.5,1.42
"TR48460|c0_g4_i5",0.67,0.43
"TR51929|c0_g3_i1",0.91,0
"TR49182|c0_g1_i2",0.2,0.46
"TR49069|c1_g2_i2",0.9,0
"TR53102|c0_g1_i1",0.15,0.2
"TR116490|c0_g1_i1",0.87,1.32
"TR24304|c0_g1_i1",0.4,0.87
"TR22635|c0_g1_i2",1.31,1.51
"TR12019|c0_g1_i1",0.27,0.59
"TR22744|c0_g1_i4",5.53,4.21
"TR124444|c0_g1_i1",0.47,0
"TR179594|c0_g1_i1",1.14,2.41
"TR151833|c0_g1_i1",0.43,0.17
"TR124256|c0_g1_i1",0.97,1.19
"TR28730|c3_g7_i1",0.05,0
"TR223656|c0_g1_i1",1.06,1.15
"TR17438|c0_g2_i2",0.31,0.56
"TR7251|c0_g1_i1",0.73,0.79
"TR189620|c0_g1_i1",0.68,1.48
"TR31004|c0_g2_i1",0.5,0.69
"TR219199|c0_g1_i1",0.6,0
"TR76896|c0_g1_i1",0.89,0.97
"TR21033|c1_g1_i1",0.87,0.36
"TR79328|c0_g2_i1",1.06,2.3
"TR133942|c0_g1_i2",0.22,0
"TR209766|c0_g1_i1",2.63,0
"TR44889|c2_g2_i9",1.38,0.67
"TR110438|c0_g1_i1",0.54,0.19
"TR182413|c0_g1_i1",0.77,0.8
"TR238|c0_g1_i1",0.38,0
"TR41767|c2_g2_i3",2.09,0
"TR48504|c0_g1_i1",0.44,0.65
"TR181709|c0_g1_i1",0.31,0.39
"TR177468|c0_g1_i1",0.57,0
"TR147004|c0_g1_i1",1.05,1.16
"TR167656|c0_g1_i1",0.81,0
"TR73803|c0_g4_i1",3.43,2.86
"TR51129|c0_g2_i1",0.42,0.5
"TR121786|c0_g1_i1",0.42,0.53
"TR109559|c0_g1_i1",7.96,8.08
"TR173547|c0_g1_i1",0.43,0.93
"TR68022|c0_g1_i1",0.92,0
"TR210052|c0_g1_i1",0.6,0
"TR21074|c0_g3_i6",0.4,0
"TR78691|c0_g1_i1",1.31,2.87
"TR53356|c0_g1_i1",2.25,4.26
"TR82049|c0_g1_i3",1.14,0.49
"TR126791|c1_g1_i1",1.1,1.19
"TR13238|c0_g1_i1",0.24,0
"TR30389|c0_g2_i7",0.15,0
"TR26631|c0_g1_i1",0.52,0.56
"TR233888|c0_g1_i1",0.49,0.7
"TR116392|c0_g1_i1",0.13,0.23
"TR121289|c0_g1_i1",4.91,3.87
"TR15756|c8_g6_i3",0.19,0.18
"TR133739|c0_g1_i1",0.88,0.25
"TR11116|c6_g4_i5",0.15,0
"TR69983|c0_g1_i1",0.91,0.68
"TR76026|c0_g1_i1",0.85,0.85
"TR6257|c0_g1_i1",0.95,1.76
"TR169254|c0_g1_i1",0.47,0.61
"TR101671|c0_g1_i1",0.16,0
"TR158288|c0_g2_i1",0.06,0
"TR10187|c0_g1_i1",0.44,0
"TR152200|c0_g1_i1",1.28,1.23
"TR107508|c0_g1_i1",1.32,1.41
"TR55528|c0_g1_i1",0.78,0.84
"TR165087|c0_g1_i1",0.43,0
"TR98661|c0_g1_i1",0.45,0.98
"TR156925|c0_g2_i1",1.17,2.95
"TR128569|c0_g1_i1",0.43,0.93
"TR70248|c0_g1_i1",0.59,1.27
"TR50480|c0_g1_i1",0.9,0.35
"TR118216|c0_g1_i1",0.66,0.6
"TR96409|c0_g2_i1",0.28,0.39
"TR74661|c0_g3_i1",0.38,0.82
"TR73764|c0_g2_i7",0,8.46
"TR58259|c0_g1_i1",0.56,0
"TR157698|c0_g1_i1",0.79,0.67
"TR79516|c0_g1_i1",0.09,0
"TR54577|c0_g1_i1",1.86,0.83
"TR202181|c0_g1_i1",0.44,0.73
"TR85010|c0_g1_i2",4.85,4.39
"TR35446|c0_g1_i1",0.46,0
"TR192922|c0_g1_i1",0.23,0
"TR65578|c0_g1_i1",0.95,0.68
"TR76147|c0_g1_i1",0.22,0
"TR93001|c0_g1_i1",0.86,1.16
"TR23264|c0_g1_i1",0,0.03
"TR107649|c0_g2_i1",0.34,0
"TR129336|c0_g1_i1",0.46,0.98
"TR1517|c0_g1_i1",1.53,1.41
"TR24295|c0_g2_i1",4.79,4.83
"TR2738|c0_g1_i1",0.98,1.69
"TR146124|c0_g2_i1",0.29,0.73
"TR112728|c0_g2_i1",0.49,0.64
"TR148082|c0_g2_i1",1.46,1.67
"TR99563|c0_g1_i1",0.57,1.81
"TR226618|c0_g1_i1",1.27,1.37
"TR81521|c3_g6_i2",0.03,0.03
"TR24726|c0_g2_i2",2.02,1.68
"TR55862|c4_g1_i1",1.24,0
"TR157861|c0_g1_i2",9.65,8.28
"TR114786|c0_g1_i1",1.27,1.56
"TR99111|c0_g1_i1",0.2,0
"TR75534|c11_g8_i2",0.24,0
"TR118007|c0_g1_i1",0.62,0.7
"TR7749|c0_g1_i1",0.92,2
"TR195518|c0_g1_i1",1.19,0.86
"TR34373|c0_g1_i1",0.97,0.59
"TR149305|c0_g1_i1",0.52,1.33
"TR7566|c0_g1_i1",0.87,0.49
"TR31889|c0_g1_i1",0.39,0.55
"TR77680|c0_g1_i2",0.24,0
"TR45503|c0_g1_i1",0.6,0.32
"TR73531|c0_g1_i7",3.4,1.33
"TR159573|c2_g1_i1",0.21,0
"TR38147|c0_g3_i9",0.65,0.62
"TR111151|c0_g2_i1",0.81,0.98
"TR89510|c0_g1_i1",2.05,1.79
"TR164891|c0_g1_i1",0.95,2.05
"TR149946|c0_g1_i1",0.67,0
"TR194309|c0_g1_i1",0.7,0
"TR7379|c4_g5_i1",0.63,0
"TR102524|c0_g1_i1",0.8,0.37
"TR8637|c0_g1_i1",1.37,1.76
"TR193242|c0_g1_i1",0.33,0
"TR185598|c0_g1_i1",1.51,1.41
"TR50913|c0_g1_i6",0.7,0
"TR84267|c0_g1_i1",0.32,0
"TR130773|c0_g2_i1",0.33,0
"TR53310|c0_g2_i1",0.56,0.61
"TR28159|c0_g1_i1",0.58,0.62
"TR157379|c0_g1_i1",0.01,0
"TR143196|c0_g1_i1",0.18,0.19
"TR70603|c0_g1_i1",0.63,0
"TR63692|c1_g3_i4",0.16,0
"TR218403|c0_g1_i1",0.95,0.74
"TR9044|c0_g1_i1",0.28,0.6
"TR237975|c0_g1_i1",0.35,0.36
"TR226349|c0_g1_i1",1.02,2.62
"TR197883|c0_g1_i1",0.71,0
"TR216536|c0_g1_i1",1.02,1.32
"TR108541|c0_g3_i1",0.3,0
"TR5233|c0_g1_i3",2.77,1.46
"TR1429|c0_g1_i1",0.49,0.42
"TR5725|c0_g2_i9",0.82,0
"TR229514|c0_g1_i1",31.16,35.93
"TR18251|c8_g1_i1",0.26,0
"TR21704|c0_g1_i1",1.85,2.02
"TR202562|c0_g1_i1",0.63,0.61
"TR13653|c0_g1_i4",0.34,0.05
"TR158217|c0_g1_i1",1.58,1.59
"TR16935|c0_g1_i1",2.14,1.14
"TR22016|c0_g1_i9",0.44,0
"TR39038|c0_g1_i3",1.7,0.81
"TR224799|c0_g1_i1",0.49,0
"TR11571|c0_g1_i11",1.04,1.19
"TR134639|c0_g1_i1",0.3,0
"TR198266|c0_g1_i1",0.29,0
"TR210325|c0_g1_i1",0.98,1.42
"TR51713|c1_g1_i7",0.85,0
"TR23261|c0_g1_i1",0.34,0.42
"TR83378|c0_g1_i2",1.38,1.81
"TR203915|c0_g1_i1",0.57,0.62
"TR4013|c0_g1_i1",0.74,0.81
"TR190421|c0_g1_i1",0.85,0.91
"TR207555|c0_g1_i1",1.8,0.96
"TR18705|c0_g4_i1",0.46,0.92
"TR133045|c0_g1_i1",0.49,0.61
"TR151084|c0_g1_i1",0.33,0.25
"TR97479|c0_g1_i2",0.28,0.61
"TR16790|c0_g1_i1",38.38,39.99
"TR131030|c0_g1_i1",0.29,0
"TR115654|c0_g1_i1",0.39,0.84
"TR21085|c2_g2_i3",3.07,4.14
"TR94389|c0_g1_i1",0.91,0
"TR103428|c0_g1_i1",0.57,0.96
"TR185507|c0_g1_i1",0.79,0.84
"TR58037|c0_g1_i1",1.48,1.39
"TR18856|c0_g1_i1",0.86,1.28
"TR49051|c4_g5_i2",0,0.51
"TR100379|c0_g1_i3",5.46,4.65
"TR81727|c0_g1_i1",0.95,2.08
"TR141899|c0_g1_i1",0.6,1.26
"TR39548|c0_g1_i1",1.11,0.83
"TR235217|c0_g1_i1",0.31,0.25
"TR6965|c1_g4_i15",3.52,1.72
"TR209237|c0_g1_i1",0.53,1.4
"TR81396|c0_g1_i1",0.8,0.43
"TR124591|c0_g1_i2",0,0.01
"TR109277|c0_g1_i2",1.01,0.47
"TR204094|c0_g1_i1",0.46,0.63
"TR88778|c0_g2_i1",0.5,0.48
"TR14172|c0_g2_i4",0.21,0.16
"TR133564|c0_g1_i1",15.54,11.31
"TR146734|c0_g1_i1",4.49,3.15
"TR79939|c0_g2_i1",1.89,1.35
"TR21652|c0_g1_i1",0.61,0.67
"TR141390|c0_g1_i1",0.87,1.04
"TR79921|c0_g3_i5",0.31,0.44
"TR134749|c0_g1_i1",0.4,0.33
"TR93670|c0_g3_i1",2.8,2.93
"TR155983|c0_g1_i1",98.51,90.68
"TR3212|c0_g1_i1",0.66,0.8
"TR71436|c0_g4_i4",0.18,0.01
"TR205407|c0_g1_i1",0.69,0.41
"TR153187|c0_g1_i1",0.24,0
"TR100829|c1_g1_i1",0.53,0
"TR117685|c0_g1_i1",1.68,0.76
"TR95828|c0_g1_i1",0.56,0.68
"TR151014|c0_g1_i1",0.49,0.47
"TR38110|c2_g3_i1",0.35,0.77
"TR44310|c0_g1_i2",1.92,3.04
"TR235141|c0_g1_i1",0.3,0.64
"TR191026|c0_g1_i1",0.23,0
"TR29008|c0_g1_i1",0.67,0.95
"TR125327|c0_g1_i1",0.46,0.18
"TR8283|c4_g5_i2",0.41,0
"TR42142|c2_g5_i1",0.37,0.31
"TR63769|c0_g1_i1",0.24,0
"TR72734|c0_g1_i1",1.25,1.81
"TR234947|c0_g1_i1",0.74,0.8
"TR187696|c0_g1_i1",0.37,0
"TR6486|c0_g1_i1",0.62,0.26
"TR151981|c0_g1_i1",0.5,0.38
"TR136588|c0_g2_i1",0.19,0
"TR200709|c0_g1_i1",0.17,0
"TR45326|c0_g1_i1",0.65,0.82
"TR2398|c0_g1_i2",0.25,0.6
"TR105606|c0_g2_i1",0.46,0
"TR180196|c0_g1_i1",0.75,1.19
"TR194779|c0_g1_i1",0.36,0
"TR72400|c0_g1_i1",0.66,0.48
"TR110300|c0_g1_i1",0.44,0
"TR237758|c0_g1_i1",0.46,0
"TR150416|c0_g2_i1",0.76,1.09
"TR151474|c0_g1_i1",1.09,1.83
"TR237390|c0_g1_i1",0.31,0
"TR28174|c0_g1_i1",0.49,0.7
"TR222272|c0_g1_i1",0.55,0.17
"TR25331|c1_g1_i9",0.37,0
"TR154254|c0_g1_i1",2.48,1.54
"TR5866|c0_g1_i1",0.5,0
"TR167722|c0_g1_i1",0.43,0
"TR153171|c1_g1_i1",0.87,0.63
"TR227042|c0_g1_i1",0.62,0.45
"TR22385|c0_g1_i1",0.54,0.5
"TR119720|c0_g1_i1",0.9,0
"TR71012|c0_g1_i1",0.71,1.48
"TR52929|c0_g1_i1",1,1.4
"TR135528|c0_g1_i1",3.21,1.53
"TR37136|c1_g1_i1",10.41,11.57
"TR18225|c4_g3_i4",1.14,0
"TR126298|c0_g1_i1",0.65,0.26
"TR49023|c0_g1_i3",0.44,0.72
"TR105064|c0_g2_i1",1.11,2.08
"TR33457|c0_g1_i2",2.18,2.7
"TR86153|c0_g1_i1",0.56,1.43
"TR103241|c0_g1_i1",0.42,0.14
"TR194925|c0_g1_i1",1.51,0
"TR13595|c0_g1_i1",0.5,0.13
"TR83396|c0_g5_i1",0.75,1.08
"TR199832|c0_g1_i1",1.93,1.68
"TR168854|c0_g1_i1",0.34,0
"TR121222|c0_g1_i1",0.77,0
"TR41800|c1_g2_i1",0,0.11
"TR215810|c0_g1_i1",0.89,0.77
"TR189379|c0_g1_i1",0.6,0.64
"TR53454|c3_g3_i1",0.4,0
"TR22029|c0_g1_i12",0.54,0.64
"TR72017|c0_g1_i1",0.79,0.34
"TR122333|c1_g1_i1",4.29,4.33
"TR84006|c1_g1_i4",0.81,0
"TR238772|c0_g1_i1",0.75,0.82
"TR194169|c0_g1_i1",0.4,0.86
"TR14629|c1_g2_i1",0.99,0.81
"TR71508|c1_g3_i9",0.08,0
"TR6966|c0_g2_i5",1.88,1.37
"TR34|c0_g7_i1",6.76,7.03
"TR159084|c0_g1_i1",0.22,0
"TR19808|c3_g5_i5",0.46,1
"TR239143|c0_g1_i1",0.52,0.28
"TR235043|c0_g1_i1",0.38,0
"TR74485|c0_g6_i2",0.37,0
"TR8314|c0_g2_i5",0.64,1.22
"TR3312|c0_g5_i2",0.75,1.01
"TR26396|c3_g10_i1",1.57,0.94
"TR15767|c3_g6_i1",0.46,0.5
"TR87889|c0_g1_i1",2.31,3.15
"TR76712|c0_g3_i1",3.32,5.23
"TR19261|c0_g1_i1",0.6,1.31
"TR201101|c0_g1_i1",1.1,0
"TR64633|c0_g1_i1",0.59,0.42
"TR200595|c0_g1_i1",0.78,1.7
"TR103979|c0_g1_i1",1.11,0
"TR84399|c0_g1_i1",0.53,0
"TR8572|c0_g1_i1",0.42,0.99
"TR58924|c0_g1_i1",1.51,1.1
"TR71332|c0_g2_i1",1.26,1.35
"TR163066|c0_g1_i1",0.91,0.96
"TR118163|c1_g1_i1",1.06,0.85
"TR86428|c0_g1_i1",0.37,0.2
"TR42116|c0_g2_i10",0.16,0.26
"TR82950|c6_g12_i2",2.8,1.86
"TR6682|c0_g1_i3",0.62,1.34
"TR109383|c0_g1_i1",8.22,8.43
"TR8966|c0_g1_i1",0.83,0.6
"TR233113|c0_g1_i1",0.78,0.51
"TR415|c0_g1_i1",0.32,0
"TR6242|c0_g1_i1",1.31,1.09
"TR25266|c0_g1_i2",1.83,0.92
"TR2444|c0_g1_i9",0.38,0
"TR230297|c0_g1_i1",0.56,0.37
"TR92682|c0_g1_i1",0.22,0
"TR74537|c0_g3_i2",0,0.86
"TR104571|c0_g1_i1",0.06,0.94
"TR25846|c2_g1_i5",1.13,0.95
"TR30840|c2_g3_i1",1.21,3.51
"TR111360|c0_g1_i1",0.29,0.62
"TR8146|c4_g1_i1",0.15,0.32
"TR132821|c0_g1_i2",0.19,0.4
"TR99692|c0_g1_i1",1.21,1.41
"TR10042|c0_g1_i1",0.79,1.23
"TR202378|c0_g1_i1",0.61,0.97
"TR108170|c0_g1_i1",0.97,0
"TR119516|c0_g1_i1",0.68,1.46
"TR8145|c0_g1_i1",0.41,0
"TR66491|c0_g1_i3",2.87,2.44
"TR30791|c5_g11_i1",2.75,1.19
"TR235533|c0_g1_i1",1.3,1.37
"TR117107|c0_g1_i1",4.55,7.03
"TR78340|c0_g1_i1",0.74,0
"TR112123|c0_g1_i1",1.32,1.67
"TR3070|c0_g1_i1",0.38,0
"TR221372|c0_g1_i1",0.68,0
"TR8263|c2_g1_i1",0.46,0.63
"TR70582|c0_g1_i1",0,0.39
"TR159249|c0_g2_i1",0.34,0.58
"TR212073|c0_g1_i1",1.7,0.84
"TR16985|c0_g1_i1",0.21,0
"TR194920|c0_g1_i1",1.07,0
"TR56427|c0_g1_i1",0.97,1.21
"TR48232|c0_g2_i1",1.82,1
"TR57406|c0_g1_i4",3.01,2.78
"TR55427|c0_g1_i1",0.51,1.28
"TR149135|c0_g1_i1",0,0.11
"TR18772|c0_g2_i1",22.53,46.24
"TR108982|c0_g1_i4",0.55,0.5
"TR45716|c0_g1_i5",1.68,1.55
"TR55338|c0_g1_i4",0.93,0.82
"TR202887|c0_g1_i1",0.57,0.81
"TR16405|c0_g1_i1",0.72,0.78
"TR59246|c0_g1_i1",0.61,0.55
"TR59012|c0_g1_i1",1.53,1.2
"TR234454|c0_g1_i1",0.93,0.67
"TR203826|c0_g1_i1",0.77,0
"TR17802|c0_g1_i1",0.4,0.91
"TR85088|c0_g1_i1",0.57,0.69
"TR84018|c0_g18_i1",5.62,6.73
"TR63550|c0_g1_i1",0.36,0.48
"TR177308|c0_g1_i1",0.39,0.84
"TR125876|c0_g1_i2",2.91,3.51
"TR123500|c0_g1_i1",2.34,4.3
"TR117498|c0_g1_i2",0.03,0
"TR42778|c0_g1_i1",0.5,0.59
"TR86468|c0_g1_i1",0.47,0
"TR9616|c0_g1_i4",0.88,0
"TR167679|c0_g1_i1",1.76,3.06
"TR163300|c0_g1_i1",0.46,0
"TR182165|c0_g1_i1",1.17,1.7
"TR70294|c0_g1_i1",1.16,0.53
"TR48234|c0_g1_i3",4.7,7.44
"TR150415|c0_g1_i1",0.4,0.94
"TR51014|c0_g1_i1",0.42,0
"TR116231|c1_g1_i1",0.19,0
"TR8273|c0_g4_i7",0.47,0.55
"TR81535|c0_g5_i6",0.68,0
"TR125791|c0_g1_i1",1.11,0.91
"TR140466|c0_g2_i1",0,1.25
"TR100908|c0_g1_i1",0.49,0
"TR81092|c0_g1_i1",0.57,1.22
"TR217079|c0_g1_i1",0.57,0.4
"TR147137|c0_g2_i1",0.3,0
"TR109579|c0_g1_i1",0.23,0.53
"TR70033|c1_g2_i2",0.49,0.4
"TR142093|c0_g2_i1",0.74,0.67
"TR111354|c0_g1_i1",1.34,1.07
"TR22505|c0_g1_i1",0.85,0.91
"TR135204|c0_g1_i1",0.36,1
"TR110790|c0_g1_i1",0.62,1.27
"TR30569|c0_g1_i1",1.16,2.52
"TR18417|c0_g3_i2",0.56,0.49
"TR15423|c0_g1_i1",0.41,0.44
"TR71481|c0_g1_i1",1.74,1.89
"TR124296|c0_g1_i1",0.08,0
"TR10172|c0_g1_i1",0.86,1.89
"TR192795|c0_g1_i1",0.79,0
"TR114755|c0_g1_i1",0.32,0
"TR40111|c0_g1_i1",0.5,0.9
"TR224073|c0_g1_i1",0.9,0.29
"TR182125|c0_g1_i1",0.87,1.36
"TR81023|c0_g1_i5",5.12,5.32
"TR145531|c0_g1_i1",0.49,0.46
"TR213811|c0_g1_i1",212.36,194.19
"TR127804|c0_g1_i2",1.13,0
"TR103024|c0_g2_i1",0.65,0
"TR114966|c0_g1_i2",0.7,0.44
"TR77386|c3_g1_i1",2.59,0.59
"TR217268|c0_g1_i1",0.86,1.23
"TR51983|c0_g2_i2",0.67,0.86
"TR102503|c0_g2_i1",0.96,1.06
"TR142626|c0_g2_i1",0.27,0.58
"TR115000|c0_g2_i1",0.22,0.27
"TR125480|c0_g2_i1",0.45,0
"TR122214|c0_g2_i3",0.2,0
"TR62756|c0_g1_i1",0.65,0.73
"TR58241|c2_g1_i3",0.65,0.41
"TR61428|c0_g2_i1",6.16,0
"TR40388|c0_g1_i1",2.97,3.58
"TR150912|c0_g3_i1",28.91,30.51
"TR88672|c0_g1_i1",0.51,0.68
"TR45934|c0_g1_i1",0.36,0
"TR19048|c0_g1_i1",0.65,0.29
"TR91696|c0_g2_i1",0.25,0.27
"TR81655|c0_g1_i1",0.94,0.45
"TR159782|c0_g1_i1",0.66,1.35
"TR176383|c0_g1_i1",0.45,0
"TR184014|c0_g1_i1",0.74,0
"TR156793|c1_g1_i1",637.14,653.29
"TR109193|c0_g1_i1",0.21,0
"TR111924|c0_g1_i1",1.17,1.06
"TR174844|c0_g1_i1",0.89,0.97
"TR31769|c0_g2_i5",1.53,0.84
"TR116886|c0_g1_i1",0.39,0
"TR212955|c0_g1_i1",0.7,0
"TR152793|c0_g2_i1",0.55,0.59
"TR7546|c0_g15_i1",0.7,0.76
"TR98758|c0_g1_i1",5.02,5.91
"TR54866|c0_g1_i1",0.83,0.91
"TR112755|c0_g2_i1",3.88,0
"TR85040|c1_g2_i1",1.42,1.38
"TR112074|c0_g1_i1",0.27,0
"TR112873|c0_g1_i1",1.67,3.24
"TR198827|c0_g1_i1",0.51,0
"TR58873|c1_g2_i1",2.24,2.22
"TR130916|c0_g2_i1",0,0.3
"TR132011|c0_g1_i1",0.9,0.49
"TR152953|c0_g2_i1",2.54,4.26
"TR65268|c0_g1_i4",0,0.19
"TR27710|c0_g1_i1",0.41,0
"TR132232|c0_g1_i1",0.4,0.78
"TR10772|c0_g1_i1",0.84,0
"TR72967|c0_g1_i1",1.88,3.27
"TR150138|c0_g3_i2",1.43,2.47
"TR196623|c0_g1_i1",0.94,1.03
"TR11549|c2_g1_i1",0.67,0.82
"TR65693|c0_g1_i1",0.63,0.69
"TR234643|c0_g1_i1",0.76,0.22
"TR142034|c0_g1_i1",0.62,0.33
"TR87807|c0_g1_i1",0.6,1.17
"TR25605|c3_g5_i8",2.05,2.27
"TR172496|c0_g1_i1",0.75,0.82
"TR102856|c0_g1_i1",1.17,0
"TR178251|c0_g1_i1",1.35,2.86
"TR58673|c0_g1_i1",1.25,0.47
"TR31563|c0_g1_i1",0.89,0.95
"TR142733|c1_g2_i1",0.35,0
"TR137787|c0_g1_i1",1.18,2.49
"TR108775|c0_g1_i1",0.83,0
"TR38055|c0_g1_i4",0.02,0
"TR22756|c6_g9_i2",3.63,2.56
"TR146777|c0_g2_i1",0.38,0.41
"TR51118|c0_g1_i1",0.26,0
"TR113413|c0_g1_i1",2.06,1.18
"TR180041|c0_g1_i1",0.47,1.01
"TR206704|c0_g1_i1",0.09,0
"TR109762|c0_g1_i1",115.57,116.3
"TR172888|c0_g1_i1",0.45,0
"TR172375|c0_g1_i1",0.29,0.31
"TR225515|c0_g1_i1",0.73,0.83
"TR152648|c0_g1_i1",0.78,1.26
"TR148596|c0_g1_i1",0.38,0
"TR39931|c1_g11_i1",6.09,8.33
"TR61737|c0_g1_i1",0.59,0.32
"TR32029|c0_g1_i1",0.42,0
"TR48248|c4_g1_i1",1.09,0.7
"TR237265|c0_g1_i1",0.53,1.16
"TR210848|c0_g1_i1",0.33,0.35
"TR13633|c0_g2_i5",0.65,0
"TR72750|c0_g1_i2",2.58,2.55
"TR206806|c0_g1_i1",1.38,1.1
"TR76154|c0_g1_i1",0.82,0.67
"TR92332|c0_g1_i1",0.66,0.72
"TR122792|c0_g1_i1",11.47,4.52
"TR83330|c0_g3_i1",4.3,4.37
"TR225323|c0_g1_i1",0.85,0.89
"TR111252|c1_g1_i1",0.76,0.89
"TR84052|c0_g1_i1",1.6,1.71
"TR184456|c0_g1_i1",1.51,0
"TR99507|c0_g2_i1",0.26,0
"TR131082|c0_g2_i1",0.37,0
"TR9594|c10_g1_i1",0.64,0.69
"TR126864|c0_g2_i1",1.03,1.92
"TR100294|c0_g1_i1",0.61,0.41
"TR87694|c0_g1_i1",0.89,0.95
"TR28774|c0_g1_i1",0.82,0.66
"TR136131|c0_g1_i1",1.02,0.88
"TR33092|c0_g1_i1",0.72,0
"TR21579|c0_g1_i1",0.32,0.35
"TR56461|c0_g1_i1",0.9,0.78
"TR23075|c0_g1_i1",0.67,0
"TR144643|c0_g1_i1",0.74,1.9
"TR133574|c0_g2_i1",0.43,0
"TR220898|c0_g1_i1",0.95,1.91
"TR213842|c0_g1_i1",0.59,0.55
"TR165745|c0_g1_i1",0.57,0.41
"TR146005|c0_g1_i1",0.48,1.27
"TR87064|c0_g2_i1",0.39,0
"TR226880|c0_g1_i1",0.59,0.28
"TR93354|c0_g1_i1",1.11,1.2
"TR40117|c0_g1_i1",0.55,1.3
"TR128743|c0_g1_i1",1.17,0
"TR75512|c0_g1_i1",0.72,0.41
"TR185853|c0_g2_i1",0.8,2.28
"TR148217|c0_g1_i2",1.43,1.47
"TR182559|c0_g1_i1",0.85,0
"TR83820|c0_g1_i1",0.45,0
"TR44898|c5_g3_i3",2.63,4
"TR25505|c0_g2_i2",1.43,1.48
"TR124362|c0_g2_i1",1.45,1.7
"TR194843|c0_g1_i1",0.86,0
"TR16815|c0_g1_i1",0.58,0.98
"TR204607|c0_g1_i1",1.03,1.66
"TR114279|c0_g1_i1",0.79,0.81
"TR31278|c0_g1_i1",0.39,0.55
"TR24270|c0_g1_i1",5.94,4.3
"TR72950|c0_g1_i1",0.67,0.36
"TR96715|c0_g1_i1",0.4,0
"TR59002|c0_g1_i1",0.38,0
"TR58878|c0_g2_i3",0.49,0.29
"TR51395|c0_g1_i1",1.31,1.96
"TR195218|c0_g1_i1",0.33,0
"TR127700|c0_g1_i1",1.71,1.88
"TR45233|c0_g1_i1",0.51,0
"TR19806|c0_g1_i10",0,0.04
"TR38150|c0_g2_i4",2.45,2.11
"TR43826|c0_g1_i1",0.71,0.51
"TR171434|c0_g1_i1",0.3,0.66
"TR84001|c10_g1_i1",0.44,1.07
"TR63707|c3_g1_i2",0.2,0.42
"TR40971|c0_g1_i1",0.92,1.01
"TR38189|c1_g10_i1",2.52,3.86
"TR49042|c1_g8_i1",0.66,0.62
"TR206819|c0_g1_i1",0.95,0
"TR202408|c0_g1_i1",0.09,0.2
